Disability medical benefits,BE-01-00-00-00
"This category covers issues that a tenant may have with rent levels for their home, including how much rent they have to pay, how much it can be increased by, and protections they may have based on local laws or housing programs. It covers private rentals, subsidized rentals, and public housing.",HO-06-02-00-00
"This category covers issues that individual tenants or housing project groups may have with rent in public housing. This includes how the rent levels are defined, how the tenant's financial situation affects the rents, and how rent may be increased.",HO-06-02-01-00
"This category covers issues that tenants in federally subsidized (Section 8) rentals might have with rent levels, including how they are calculated, what ceiling rents are, what allowances they may have for utilities, how rents might be increased, and other issues.",HO-06-02-02-00
"This category covers issues that tenants in homes subsidized by rural rental assistance programs (formerly FMHA programs) might have with rent levels, including how they are calculated, what ceiling rents are, what allowances they may have for utilities, how rents might be increased, and other issues.",HO-06-02-03-00
"This category concerns how a tenant may challenge the deductions that a landlord takes from their security deposits, like for repairs or damages to the home after the tenant moves out. This includes possibly raising claims under the Unfair Trade Practices law, that the landlord misrepresented the repairs needed, in order to claim financial damages.",HO-06-01-03-00
"This category concerns options a tenant or government agencies may have to challenge a landlord's housing quality and affordability for federally subsidized rentals. This includes raising claims of Unfair Trade Practices, of fraudulently presenting rentals as fair, safe, and affordable, and subjecting tenants to uninhabitable and dangerous conditions. It also covers formal grievance procedures of raising problems to the local housing authority or other government actors.",HO-05-01-01-01
"This category covers issues a tenant might have with how and when the landlord can access their rental home, and how they have 'quiet enjoyment' to their home. This covers private rentals, subsidized rentals, and public housing. It includes issues of landlords coming onto the property too frequently, unnecessarily, or without proper notice.",HO-06-04-00-00
"This category concerns issues a tenant might have, that prevent them from their basic rights of 'quiet enjoyment' of their home. This includes issues with ongoing noises or behaviors from neighbors, maintenance work that takes significantly longer than expected, pests making noises, or landlords calling or entering the property too frequently or without notice.",HO-05-01-05-00
"This category covers issues a tenant may raise if sued for eviction, which challenges the landlord's claim to have title or ownership of the home. This might be called a Claim of Title defense.",HO-02-04-05-00
"This category covers issues and options for being a defendant in an eviction or unlawful detainer lawsuit. These options, obligations, and processes change depending on local state and city jurisdictions.",HO-02-03-02-01
"This category is about the requirements, options, and procedures that a landlord must follow while a plaintiff in an eviction (or unlawful detainer) lawsuit.",HO-02-03-02-02
This category covers if and how a person can request that their eviction lawsuit be heard by a jury (rather than just by a judge).,HO-02-03-02-03
This category covers how a tenant or landlord can appeal the judge's final decisions or orders in an eviction lawsuit.,HO-02-03-02-04
"This category covers how a court process for an eviction based on nonpayment of rent works, including if a tenant can be sided, how they must be given notice, if they are able to pay back rent to make the lawsuit end, what defenses they might have, and what possible judgments and outcomes may be.",HO-02-03-02-05
"This category covers a certain type of eviction lawsuit, a holdover case. These are more complicated than nonpayment of rent eviction cases. They could involve the landlord trying to remove a tenant who is not a direct tenant (like a roommate), or trying to remove a tenant for lease violations or other issues.",HO-02-03-02-06
"This category covers options that a tenant might have after a court has ruled in an eviction case, ordering on the side of the landlord that they can remove the tenant from the home. This includes how to file a motion to set aside (or cancel) the eviction order, based on a legal reason why the order should never have been issued. This might be for problems with how the case procedure went, landlord fraud, mistake or surprise, new evidence, or that the tenant has already moved out.",HO-02-03-02-07
"This category covers how a tenant can challenge a landlord for trying to evict them illegally, by making it so difficult to live in the home that they must leave. This might involve shutting off heat or water, changing the locks, harassing tenants, failing to make repairs, or other harmful actions. The category covers what a tenant must gather and prove to be able to make a 'constructive eviction' claim, what kinds of landlord behavior amounts to a constructive eviction, and what options and outcomes might result.",HO-02-07-00-00
This category covers which level and geographical area of court has jurisdiction to hear an eviction case between a landlord and tenant.,HO-02-03-02-08
"This category covers how a tenant may defend themselves against an eviction action that they believe was filed in retaliation for exercising their rights as a tenant. This could be for having reported housing code violations, complaining about unsafe living conditions, exercising their First Amendment rights, or using their (possible) state rights to withhold or deduct rent to fix poor living conditions. This category covers how a defendant can stop an eviction by raising a defense that the eviction is illegal under anti-retaliation laws.",HO-02-04-06-00
"This category covers the basic rights that tenants have, their ability to organize or unionize, their ability to participate in the housing market or government agencies, and other related issues. This includes how a tenant in public or subsidized housing has rights to participate in decisions about the housing quality and modernization. It also covers rights around raising grievances and advocating for themselves.",HO-06-03-00-00
"This category covers how tenants who live in federally subsidized housing (like Section 8 voucher holders) can participate in the housing program, raise grievances, advocate for themselves, and organize into unions or other groups.",HO-06-03-01-00
"This category covers the rights that tenants have when living in public housing, including their right to participate in decisions and modernization of the housing, their ability to raise grievances and to organize to advocate for themselves.",HO-06-03-02-00
"This category covers the process of receiving, understanding, negotiating, and signing a lease between a landlord and tenant. This includes how a tenant can ensure the lease is fair, raise any objections, protect their rights, and deal with other issues with the lease. It can also be about how to understand, modify, or challenge a lease after signing it.",HO-06-05-00-00
"This category covers the process of receiving, understanding, negotiating, and signing a lease between a landlord and tenant for federally subsidized (like Section 8 housing). This includes how a tenant can ensure the lease is fair, raise any objections, protect their rights, and deal with other issues with the lease. It can also be about how to understand, modify, or challenge a lease after signing it.",HO-06-05-01-00
"This category covers when and whether a landlord can come into a rented home that's subsidized by federally funding, like Section 8 vouchers. It covers issues when tenants have a problem that landlords come without notice or are entering their home.",HO-06-04-01-00
This category covers when and whether a landlord (or member of a public housing authority) can come into a public housing rental. It covers issues when tenants have a problem that landlords or housing authority representatives come without notice or are entering their home. This can be linked to the tenant's right to exclude people from their rental home.,HO-06-04-02-00
"This category covers issues a tenant might have when a landlord charges them fees for paying their rent late, includes other penalties, or charges them more money than they expected for renting the home.",H0-06-02-04-00
"This category covers renters' options and rights if their landlord changes their locks, blocks their entry to their home, or if they shut off their utilities while the renter is still living there. These actions may be an illegal eviction, that the renter can take the landlord to court for.",HO-02-08-00-00
This category covers what options and rights a tenant may have if their landlord takes or detains their property. This is typically when the landlord feels the tenant owes them rent or other money. ,HO-06-02-04-00
"This category covers issues around rent control, for tenants and landlords who live in an area with rent control policies. These policies, that are often put into law by city or county ordinances, limit the rent that landlords can charge to tenants, and how much and how often they can raise rent. This category covers questions about how people can complain about overcharges, deal with rent control laws, and deal with eviction and successions.",HO-06-02-05-00
"This category covers how a tenant can complain of an overcharge, that is in violation of rent control policies in their local area. It also covers how landlords can respond, and how an overcharge complaint is processed and resolved.",HO-06-02-05-01
"This category is about how to determine if a rental home is covered by rent control protections or not. This might be known as a 'coverage' issue. The coverage might depend on the location, age, and situation of the house.",HO-06-02-05-02
"This category covers how the organization that enforces rent control -- like a local rent board -- behaves, including how they they hear disputes and enforce the control laws.",HO-06-02-05-03
"This category covers the specific rules and protections that rent control laws (or ordinances) may give to tenants facing eviction. Rent control laws might limit the reasons that landlords can evict a tenant, and give extra defenses to a tenant who has been sued.",HO-06-02-05-04
This category covers whether a certain geographical area has rent control laws or not.,HO-06-02-05-05
"This category covers whether and how a landlord can charge a tenant an extra fee for having pets in the apartment. This includes things like pet fees, pet deposits, and pet rent. Rent control laws may explicitly prohibit these kinds of fees.",HO-06-02-05-06
"This category covers how rent control or rent-stabilization laws determine how one tenant can take a home over from another. This includes succession rights eligibility, the landlord's ability to change the rent, when a family member can take over the home at the same rent level, how to claim these rights, and how to challenge a claimed succession.",HO-06-02-05-07
"This category covers state, city, and other local rules that control how property-owners can rent out homes.",HO-06-06-00-00
This category covers local city regulations of who and how a private home can be rented.,H0-06-06-01-00
"This category covers state rules on who can rent their private home out, and how they can do so.",HO-06-06-02-00
"This category covers issues, rights, protections, and services for people who are experiencing housing instability or homelessness. ",HO-13-00-00-00
This category covers issues around the development of new affordable housing units.,HO-03-05-00-00
This category concerns upper limits on what rents can be charged in public housing. It also may be known as the Flat Rent -- the most amount of rent you may be charged in public housing. This covers how this ceiling is calculated and when a tenant may use the flat rent rather than income-based rent amounts.,HO-06-02-01-01
"This category covers how a person's rent for public housing is calculated, including what their annual income is, what parts of their income is disregarded, and other formulas that are used.",HO-06-01-01-02
"This category covers how tenants of public housing or subsidized housing may be able to deduct a monthly utility allowance, if the utilities are not already included in their rent. This covers how much this allowance might be, according to a local housing authority and how it affects the rental amount that the person may have to pay.",HO-06-02-01-03
This category covers if and how rent can be increased in public housing. This could also be called project-wide rental increases.,HO-06-02-01-04
"This category is about issues around public housing tenants may have with physical safety and security in their homes. This includes their rights, ability to raise grievances, and obligations of housing authorities to deal with issues of safety.",HO-03-02-04-00
"This category covers issues people might have when public housing is built, demolished, relocated, or other issues as to where it is located. This could be issues around the rights of tenants when a housing unit is being demolished or relocated. It is also about the legal process and requirements of how sites are decided upon, and whether there is permission for demolition.",HO-03-02-05-00
"This category covers how sites are decided on for public housing, and what rights people have to participate in this process.",HO-03-02-05-01
This category covers tenants' rights and options when their public housing unit is being torn down or otherwise demolished.,HO-03-02-05-02
"This category covers rights, options, and assistance that tenants in public housing might have, if their home is being demolished, rehabilitated, converted, or acquired.",HO-03-02-05-03
"This category covers the Section 3 Rule about how public housing agencies must employ people who either live in public housing or are low-income, when they are contracting for improvements to public housing or other projects.",HO-03-02-05-04
"This category covers issues and questions around the US government's Hope VI program to rehabilitate public housing projects through new grants, demolition, planning, and other efforts.",HO-03-02-05-05
"This category covers the options, eligibility standards, and process of being admitted to live in public housing rentals.",HO-03-02-06-00
"This category covers who is eligible to apply for public housing, and how it will be determined if they will be admitted for housing or not. It includes the local housing authorities' definitions of specific admissions criteria.",HO-03-02-06-01
"This category covers what preferences a housing authority might have in deciding who gets public housing, and how wait list positions for public housing are determined. This might be on residency past and plans, or other factors.",HO-03-02-06-02
"This category covers the requirements that a housing authority might have for possible renters, about how long they have lived in the geographic area or how long they are planning to stay.",HO-03-02-06-03
"This category covers if and how non-US citizens may be able to access public housing, subsidized housing vouchers, emergency assistance, and other programs that help them with the cost of their housing.",HO-03-07-00-00
"This category covers a public housing tenant's right to have guests or others in their home, when there might be limits on this, and how a tenant can protect their rights.",HO-03-02-07-00
"This category covers questions and options for those interested in possibly building low-income housing, or rehabilitating existing units, to provide affordable rental housing for low- and moderate-income tenants. It also covers renters' and residents' rights regarding these development projects.",HO-03-05-01-00
"This category concerns options and rights for tenants in single room occupancy units, that lets low-income tenants have affordable housing.",HO-03-08-00-00
"This category covers what a tenant can do when their landlord's property is in foreclosure, or if their landlord is in the bankruptcy process. It covers what their rights are, what happens if they face eviction based on their landlord's situation, how their lease may change, or if there are new owners of the property.",HO-08-06-00-00
"This category covers protections, rights, and options for people who are concerned they may have been discriminated against based on their disability.",HO-01-06-00-00
"This category concerns the legal options and rights a person may have if they have experienced discrimination around housing based on their national origin or apparent ethnicity. This could be when they were trying to rent a home, get housing assistance, take out a mortgage, buy a home, or other housing-related activities. It includes the practice of redlining.",HO-01-07-00-00
"This category concerns the legal options and rights a person may have if they have experienced discrimination around housing based on their gender or sexuality. This could be when they were trying to rent a home, get housing assistance, take out a mortgage, buy a home, or other housing-related activities.",HO-01-08-00-00
"This category concerns the legal options and rights a person may have if they have experienced discrimination around housing based on their having children, intending to have children, being pregnant, or in the process of adoption. This could be when they were trying to rent a home, get housing assistance, take out a mortgage, buy a home, or other housing-related activities. ",HO-01-09-00-00
"This category covers protections, including from local state and city rules, regarding people living with HIV/AIDS. This could be about protection from discrimination, housing assistance programs, homelessness prevention, access to therapies and services, and other rules.",HO-06-06-03-00
"This category covers protections and rights of people based on their belonging to an organized religious group, or based on their religious or moral beliefs. It covers issues around harassment, discrimination, interference with practicing of religion, reasonable accommodation, dressing and grooming, and other issues.",RI-17-00-00-00
"This category concerns the legal options and rights a person may have if they have experienced discrimination around housing based on their apparent or actual religion. This could be when they were trying to rent a home, get housing assistance, take out a mortgage, buy a home, or other housing-related activities.",HO-01-10-00-00
"This category covers discrimination that a person might face when trying to rent a home, based on the source of their income to pay for this home -- like a Section 8 or Housing Choice Voucher. This includes what a person may do to protect themselves against this kind of discrimination, what rights they have, and how they can assert their rights if they feel they are facing discrimination. This can be known as 'No Section 8' policies.",HO-01-11-00-00
"This category covers tenants' rights, options, and limits to have visitors to their home that is subsidized by federal rental assistance, like a Section 8 or Housing Choice Voucher.",HO-03-03-01-00
"This category covers if and how a person can get federal subsidies to rent a home, like getting a Section 8 or Housing Choice Voucher.",HO-03-03-02-00
"This category covers how a tenant receiving a Section 8 or Housing Choice Voucher subsidy can recertify their income and family breakdown every year, and how they can report changes during the year if their family or income changes.",HO-03-03-03-00
"This category covers issues in how to calculate the rent/assistance levels that a tenant getting federally subsidized housing has, including how their income is defined, how rent is defined, what income is disregarded, and what utility allowances they are given.",HO-06-02-02-01
This category concerns upper limits on what rents can be charged for federally subsidized homes. It also may be known as the Flat Rent -- the most amount of rent you may be charged. This covers how this ceiling is calculated and when a tenant may use the flat rent rather than income-based rent amounts.,HO-06-02-02-02
"This category covers the government-mandated standards that all rentals that qualify for housing choice vouchers, or Section 8 vouchers, must comply with. This includes issues of when the home is on the rental market, and its ongoing maintenance.",HO-05-01-01-02
"This category covers the process and rights of a tenant who is facing termination of their rental subsidy, like their Section 8 or Housing Choice Voucher.",HO-03-03-04-00
"This category concerns options, rights, and legal strategies that are available when landlords consider removing rental homes from affordable or subsidized housing programs. This also covers notification and protections that must be given to tenants with federal subsidies and vouchers, if the landlord is planning to remove or demolish subsidized housing units.",HO-03-03-06-00
"This category covers whether and how a landlord can decide to remove their home from inclusion in federally subsidized rent programs, like the Section 8/Housing Choice Voucher program. It covers the rights that tenants might have, notice that landlords must give, and possible housing authority or other action the landlords might face.",HO-03-03-06-01
"This category concerns what happens when a housing authority or other government agency determines that a rental unit that's associated with Section 8 or other housing subsidies is 'troubled', in that its living conditions do not meet quality standards. This can include the removal of the Section 8 contract, or repairs of the troubled properties -- and this category covers what rights and options tenants have in this process.",HO-05-01-01-03
"This category covers a tenant's rights and processes to relocate to another home when they use a Section 8 or Housing Choice Voucher to help pay their rent. This includes how they might move if their home is being demolished or converted, if they need to move to a different state, or otherwise.",HO-03-03-07-00
"This category covers tenants' rights and options when they are concerned about their personal safety and security while living in a rental home with assistance from Section 8, housing choice vouchers, or other subsidized housing programs.",HO-05-01-01-04
"This category concerns a Section 8 or Housing Choice Voucher option to use housing assistance to cover homeownership costs (rather than rental costs). It covers eligibility factors, work and income requirements, time restrictions, and other process to follow to use the voucher program to become a homeowner.",HO-04-01-00-00
